date,open,high,low,close,cvd
2024-10-02,60819.1,62350.0,60000.0,60635.3,7189.419442
2024-10-03,60643.9,61467.5,59850.0,60739.6,7368.769162
2024-10-04,60739.7,62470.0,60451.6,62081.0,8361.217425
2024-10-05,62081.0,62328.3,61700.0,62049.0,8421.551475
2024-10-06,62048.5,62921.0,61824.9,62809.3,8866.400172
2024-10-07,62809.4,64419.3,62150.8,62234.6,7242.794404
2024-10-08,62221.1,63180.2,61825.4,62117.9,6417.781906
2024-10-09,62120.6,62493.0,60300.0,60558.0,5327.955183
2024-10-10,60558.0,61237.4,58888.0,60279.5,5634.329449
2024-10-11,60275.9,63414.5,60063.4,62502.5,6526.015498
2024-10-12,62502.5,63445.0,62495.0,63184.0,6835.636993
2024-10-13,63184.9,63273.0,62029.9,62834.9,7074.175280
2024-10-14,62834.9,66400.0,62465.0,66025.5,9033.341507
2024-10-15,66025.6,67871.1,64686.1,67060.5,10992.393977
2024-10-16,67056.0,68328.6,66751.5,67589.9,11118.180499
2024-10-17,67590.0,67899.9,66644.5,67407.8,11459.892316
2024-10-18,67407.8,68980.3,67189.9,68440.3,12062.782977
2024-10-19,68440.2,68632.7,68062.2,68374.9,12101.468002
2024-10-20,68375.0,69315.0,68129.4,69010.5,12440.017799
2024-10-21,69010.5,69447.8,66838.6,67385.1,11132.726660
2024-10-22,67385.1,67750.0,66564.4,67387.6,11650.486602
2024-10-23,67384.2,67407.5,65199.0,66633.4,12140.120320
2024-10-24,66630.5,68794.2,66452.2,68170.1,12939.250072
2024-10-25,68170.1,68699.0,65531.0,66606.8,12309.486038
2024-10-26,66606.8,67348.4,66364.0,67026.0,12499.611259
2024-10-27,67026.1,68196.0,66850.4,67941.2,12915.828539
2024-10-28,67941.3,70200.0,67535.0,69911.9,15003.540423
2024-10-29,69912.0,73574.9,69720.1,72661.0,16640.201368
2024-10-30,72661.0,72887.9,71400.0,72331.1,17080.673646
2024-10-31,72331.1,72662.0,69602.0,70250.1,16011.021646
2024-11-01,70250.1,71576.0,68810.0,69490.1,14778.282595
2024-11-02,69490.1,69858.8,69060.0,69300.0,14457.750969
2024-11-03,69300.9,69363.3,67483.7,68748.7,15189.697859
2024-11-04,68748.7,69430.6,66836.0,67783.3,14772.988978
2024-11-05,67787.8,70482.0,67481.4,69382.7,15309.750122
2024-11-06,69382.7,76457.6,69341.0,75642.0,22205.607918
2024-11-07,75642.1,76937.5,74500.0,75949.2,22801.738416
2024-11-08,75949.3,77242.0,75713.0,76550.4,23023.196300
2024-11-09,76550.5,76911.0,75785.2,76728.3,23716.183108
2024-11-10,76728.3,81480.7,76569.9,80423.3,26562.073986
2024-11-11,80423.3,89600.0,80299.9,88737.6,32339.487389
2024-11-12,88737.5,89920.0,85136.0,88087.3,33933.678384
2024-11-13,88087.3,93435.0,86258.0,90490.9,35303.204935
2024-11-14,90496.8,91780.0,86621.9,87313.2,30726.955079
2024-11-15,87314.4,91850.0,87135.0,91062.0,33309.703948
2024-11-16,91062.0,91750.0,90149.0,90555.1,32587.258331
2024-11-17,90567.7,91399.0,88728.6,89850.0,32295.246621
