timestamp,price,volume,side
1782326451.601714,59417.0,2.86009575,s
1782326740.497387,59480.0,1.4251,b
1782326778.0415199,59480.0,3.15,b
1782326798.3448374,59498.8,1.882162,b
1782326798.3448374,59505.8,2.05022297,b
1782326798.3448374,59507.8,1.035189,b
1782326946.3609056,59420.1,1.5,b
1782326985.8014839,59370.8,1.885433,s
1782326985.8014839,59375.0,2.86274318,s
1782329161.7665834,59686.1,1.30610319,b
1782329161.7665834,59686.1,1.54263649,b
1782329174.92217,59698.3,5.91307092,b
1782329174.9221702,59702.6,2.72263511,b
1782329179.1982644,59718.2,1.0204186,b
1782329184.1553757,59721.6,1.20890043,b
1782329184.219489,59721.6,1.16691096,b
1782329751.3488722,59812.9,1.0672004,s
1782329915.8447516,59716.6,1.90494325,s
1782329991.4456851,59756.0,2.84520467,b
1782329991.4456854,59757.6,2.5101416,b
1782329991.4456854,59759.9,1.499336,b
1782330091.7252123,59741.2,2.51083415,b
1782330095.4017632,59742.0,1.00837496,s
1782330095.426968,59742.0,1.01368228,s
1782331087.850111,59800.0,2.92061448,b
1782331262.7152467,59866.0,5.39827997,b
1782331262.7153862,59866.0,5.39827997,b
1782331262.7154927,59866.0,4.20329004,b
1782331292.1497257,60000.0,1.275876,b
1782331292.150953,60000.0,1.03808793,b
1782331306.4273424,60153.7,1.65060135,b
1782331306.429686,60153.7,1.25497866,b
1782331306.440891,60153.7,1.922256,b
1782331306.4415114,60153.7,1.98462812,b
1782331306.4469843,60153.7,2.62564779,b
1782331306.4502823,60153.7,1.42632401,b
1782331306.466919,60153.7,1.92091282,b
1782331306.4785812,60153.7,1.59426441,b
1782331315.2726514,60168.2,2.82438578,s
1782331315.2726517,60167.4,1.65193049,s
1782331331.4719174,60150.0,1.00380054,s
1782331347.3103766,60081.4,1.489388,b
1782331348.6071439,60109.0,1.39566935,b
1782331349.076333,60106.3,1.5,b
1782331561.6663866,60359.4,1.485349,b
1782331569.2690787,60451.4,1.03459545,b
1782331569.3603828,60454.8,5.13194714,b
1782331569.3988514,60454.8,2.85841783,b
1782331569.3988514,60462.7,1.61182089,b
1782331569.4382803,60462.7,2.57206,b
1782331569.5137439,60462.7,2.57206,b
1782331569.5422788,60462.7,6.57292523,b
1782331569.5949628,60465.4,2.57206,b
1782331569.599769,60465.4,2.285337,b
1782331569.6513557,60465.4,2.4394908,b
1782331569.8137088,60529.5,4.04858887,b
1782331573.9939513,60680.9,2.80378678,b
1782331669.3237672,60616.8,1.478178,b
1782331669.3237672,60626.0,2.47418665,b
1782331669.3237672,60630.4,2.80434296,b
1782331716.2667646,60500.0,1.17526323,s
1782331716.2733874,60500.0,1.83705248,s
1782331716.2831054,60500.0,1.30268107,s
1782331743.4454646,60505.8,1.40608035,b
1782331743.4979327,60506.8,1.5,b
1782331754.419939,60519.9,2.0,b
1782331885.8336618,60727.1,1.0,b
1782332002.4111695,60631.5,1.47771,b
1782332155.014825,60515.8,1.83705248,s
1782332270.2871404,60697.4,2.80127684,b
1782332270.2871406,60703.6,2.23735686,b
1782332270.2871406,60703.7,7.42953288,b
1782332270.2871406,60708.2,1.477043,b
1782332270.2871406,60713.0,1.83816961,b
1782332525.828822,60687.9,1.475067,s
1782332525.8288221,60679.3,1.77344244,s
1782332589.4587002,60650.0,2.70747272,s
1782332697.4357107,60586.1,1.35169873,s
1782333005.7164261,60691.2,1.22403334,s
