timestamp,datetime,open,high,low,close,buy_vol,sell_vol,delta,cvd
1780307100,2026-06-01 09:45:00,72844.9,72903.0,72844.9,72879.0,0.195803,0.228393,-0.032590,40.356895
1780307400,2026-06-01 09:50:00,72876.4,72891.1,72732.7,72784.1,2.611797,27.459205,-24.847408,15.509488
1780307700,2026-06-01 09:55:00,72782.7,72805.9,72763.2,72789.6,0.140045,0.950250,-0.810205,14.699283
1780308000,2026-06-01 10:00:00,72789.7,72817.3,72692.3,72697.1,5.097183,1.425935,3.671249,18.370531
1780308300,2026-06-01 10:05:00,72697.0,72781.1,72693.4,72745.3,2.514694,0.376547,2.138147,20.508679
1780308600,2026-06-01 10:10:00,72742.7,72757.5,72690.9,72704.0,0.235807,0.199826,0.035980,20.544659
1780308900,2026-06-01 10:15:00,72704.0,72706.7,72641.8,72644.3,0.331496,6.856934,-6.525438,14.019221
1780309200,2026-06-01 10:20:00,72644.3,72706.7,72581.3,72612.5,0.922292,2.832879,-1.910587,12.108634
1780309500,2026-06-01 10:25:00,72609.5,72639.6,72580.0,72609.6,0.204387,0.453480,-0.249093,11.859541
1780309800,2026-06-01 10:30:00,72609.6,72699.0,72553.6,72553.6,0.911348,2.395133,-1.483785,10.375756
1780310100,2026-06-01 10:35:00,72553.7,72584.8,72508.6,72557.5,0.975878,1.555200,-0.579322,9.796434
1780310400,2026-06-01 10:40:00,72558.3,72618.6,72555.9,72596.5,0.988448,0.752699,0.235750,10.032184
1780310700,2026-06-01 10:45:00,72602.2,72680.4,72602.2,72656.4,1.825439,6.480378,-4.654940,5.377244
1780311000,2026-06-01 10:50:00,72657.4,72692.9,72645.0,72681.5,0.519077,0.285818,0.233259,5.610503
1780311300,2026-06-01 10:55:00,72681.5,72696.9,72641.1,72659.2,0.315828,0.823287,-0.507459,5.103044
1780311600,2026-06-01 11:00:00,72659.2,72673.8,72617.1,72617.1,0.313527,0.698512,-0.384986,4.718058
1780311900,2026-06-01 11:05:00,72618.6,72668.4,72587.0,72663.9,1.348751,1.952022,-0.603270,4.114788
1780312200,2026-06-01 11:10:00,72663.9,72666.8,72591.6,72592.2,0.281097,10.243355,-9.962257,-5.847469
1780312500,2026-06-01 11:15:00,72592.9,72638.0,72582.3,72638.0,1.410864,0.339828,1.071036,-4.776433
1780312800,2026-06-01 11:20:00,72640.3,72649.9,72576.8,72597.6,0.726142,0.206253,0.519889,-4.256545
1780313100,2026-06-01 11:25:00,72597.7,72602.3,72561.4,72578.3,0.473728,0.951817,-0.478090,-4.734634
1780313400,2026-06-01 11:30:00,72580.2,72580.2,72500.0,72553.4,0.624308,12.087389,-11.463081,-16.197716
1780313700,2026-06-01 11:35:00,72553.4,72593.0,72553.4,72572.3,1.543653,0.389694,1.153959,-15.043756
1780314000,2026-06-01 11:40:00,72573.3,72644.1,72573.3,72620.0,0.185770,0.460476,-0.274706,-15.318462
1780314300,2026-06-01 11:45:00,72620.0,72683.5,72620.0,72620.0,0.886101,1.858022,-0.971921,-16.290384
1780314600,2026-06-01 11:50:00,72620.0,72628.4,72583.2,72584.8,0.375853,0.307455,0.068398,-16.221986
1780314900,2026-06-01 11:55:00,72584.7,72594.4,72200.0,72384.3,13.774193,65.211673,-51.437480,-67.659465
